0046449994	71522	ফল জানা যাবে
0079835645	42898	এদিকে বিদ্যুৎ বিভাগকে
0094194234	71522	ধরণী, ইরাবতী
0121049756	85430	সিরিয়ার রাসায়নিক হামলার
0152366269	43199	বৃষ্টি কমে যাবে একসময়
0167599006	58998	মারাত্মক ক্ষতি বয়ে নিয়ে আসবে
0174718973	43199	এই যে
0240595814	25696	মার্কাস ট্রেসকোথিকের সফরের
0286202638	08458	এসময় পুলিশের সঙ্গে
0363411359	80539	মাতিকে পুরুষ যদি ফিরে যায়
0365004000	22096	আমি বেঁচে আছি
0402618047	80505	গোঁ ধরলাম
0507659362	29089	নির্বাচন কমিশনের সহকারী সচিব
0512369713	88654	ব্লটিং পেপারে
0562483995	14816	চাঁদপুর ১শ টাকা
0589265640	12702	২৮ এপ্রিল আনুষ্ঠানিকভাবে
0720057667	08458	যে ইহাতে সন্নিবেশিত করিয়াছি
0728628409	93080	থাকবে পুরনো পূর্ব পাকিস্তান
0797515761	07660	সে ব্যাপারে কোচ
0933391918	16877	ভর্তি রয়েছেন
0948948408	05901	বদ মেয়ে
0973242223	25117	এমন পাপীরে মারলে
0978789628	85430	আরাকান রাজ্য আক্রমণের জন্য
0985318271	91223	অনার্স রেজাল্ট
0999524086	08458	ওবায়দুল কাদের
1027741255	61820	তাঁর আবজাব বকোয়াস
1087561530	43199	কিংবদন্তি হয়ে আছে
1096281482	69449	মঙ্গল-অমঙ্গল উপেক্ষিত
1112259216	85430	গাড়ি ছেড়ে দিয়েছে
1192687480	76329	পেশ করতে গিয়ে
1354761151	58998	জনপ্রিয়তা দেখে
1387383785	93080	বাসুদেব
1403430112	80505	বিএসএফের এক রক্ষী
1436809977	42898	পরেই দ্বিতীয় উজ্জ্বল তারকা
1493325789	49543	এখানে মানুষজন আসেন
1560804733	61820	ইঞ্জিনচালিত নৌকাটি
1593083165	82926	তার সন্ধান চালাচ্ছে
1628915081	52578	বলতে গিয়ে
1664609398	11915	অনুসারে বছরের
1692482251	52578	বহু দুর থেকে দেখা যায়
1793185791	18460	অনুপ্রেরণার গল্প
1815865041	32998	সাতকানিয়া ও লোহাগাড়া উপজেলা
1886552737	23291	দুঃখ করতেও
1897179525	39293	পিঙ্গলবর্ণ হয়ে গিয়েছিল
1902399667	82926	স্থানীয় বাংলাদেশিদের
1925318330	06736	এব্যাপারে পল্লী বিদ্যুৎ
1941663194	11915	প্রতিদিন নিচ্ছে
2023607609	32998	নীলাম্বরীখান গায়ে দিয়ে
2069173877	25117	দুবাইতে প্রায়
2077368137	91230	কেন নারায়ণগঞ্জেই
2117723804	06736	পার্থক্য গড়ে দিতে পারে
2119778219	75626	সকালে পত্রিকায় খবর
2147392559	84145	অন্যান্য অরণ্য
2189899026	11915	অবশ্য অনেকের ধারণা
2222800567	95907	ভাবনার সমুদ্রে পড়তে হয়
2243391993	05901	কমলাপুর স্টেডিয়ামের এই টার্ফ হবে
2252576190	39293	মোটামুটি ব্যবসা করলেও
2300399478	06527	এই নির্বাচন হওয়ার কথা থাকলে
2422546507	18460	বাংলাদেশ সরকারের পক্ষে
2425443015	33814	সৈয়দ হায়দার আলী বলেন
2439209034	08458	উদ্বোধন অনুষ্ঠানে সভাপতিত্ব করবেন
2543221906	16877	তিন বছর আগে শ্রীলংকা
2560120830	56508	মিসরের অবস্থান অনন্য
2581778383	64092	আমাদের এক বন্ধু
2682455638	52578	এই ঘটনা ঘটে
2786445381	71522	কক্সবাজার
2913120878	80539	বিষয়ই ছিল অসাধারণ
2919243666	11915	ফোরেনসিক বিভাগ
2919691346	76329	জখম হন
3006287953	49543	বৃষ্টি হলে
3024134976	85430	আরেকজন তরুণী এসে বসল
3029976188	72649	এখন স্পষ্ট বুঝতে পারছি
3041013233	61820	আজ রাত আটটার দিকে
3063438956	29089	স্বস্তির নিঃশ্বাস ফেলে
3110371511	25696	আলাপ করিয়া আসিতেন
3237720808	39293	নারীর সৌন্দের্যের
3258380118	61820	একটির নাম
3258449361	85430	ভিড় জমান
3293872601	61820	আপনাকে কেউ খেলোয়াড় বলবে না
3362918951	53396	সর্বোচ্চ শাস্তির দাবিতে
3416507897	75936	পশ্চিমাদের অনুকরণ করেন
3439150475	80505	জীবনানন্দ ব্যাখ্যা
3461244872	52578	প্রথমবারের চূড়ান্ত পেলেন
3464189841	82926	শুনুন বিবিসি বাংলার
3492759694	25696	একই ফিটনেস কোচের কাছে
3510432745	49543	সেই সুবিধা দেবে
3582609823	42898	এক অনুরোধ অনুমোদন করেছে
3605984080	08458	রক্ষী নিয়ে চলতে হয়েছে
3620222075	23291	রাস্তায় অনেক লোক জমিয়া গেল
3660662879	91230	সে অন্যদের থেকে আলাদা
3710566995	80539	যারা এ ধরনের দাবী
3727796537	84145	একটা খারাপ ছেলের সাথে
3833609706	06736	নিহত হলেন
3906054537	61820	চিমনির মত ধোঁয়া বের করে
3925056753	52578	ঐ প্রতিবেদনে
4094753689	93080	জয়লাভের স্বীকৃতি স্বরূপ
4096190404	29089	দেখানোর জন্যই
4198896283	64092	১৯৩৮ সালের
4239550049	25117	কৌতুকের চল আছে
4289601937	06527	বিশেষ অ্যাওয়ার্ডপ্রাপ্ত হন
4299561626	25696	এবং এটা কোনভাবেই
4307381160	03284	কে বা কারা খুলে রাখে
4327585864	08458	সশস্ত্র বাহিনীর সহযোগিতা চেয়ে
4331982785	68549	হাতির ঝিল প্রকল্প
4452821541	76329	বিপ্লবী হিসেবে
4527604022	91223	গ্রেফতারের ঘটনায়
4542119007	69449	পররাষ্ট্র মন্ত্রণালয় বলেছে
4590116492	16877	গান নির্বাচিত হয়
4608720145	80505	মানববন্ধনকারীরা বলেন
4639531414	91230	এতে বছরে
4769646832	93080	সম্পূর্ণ উলঙ্গ করে
4832937491	16877	সেসব মা-বোনের প্রতি
